Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Label
20511,22,6,490,23,18,2760,2160,Brute Force
38289,124,6,79,1,0,40,0,PortScan
42017,80,6,28659,370,10,23680,400,DDoS
11316,443,6,4531,3,6,123,2748,BENIGN
46202,22,6,354,20,14,2400,1680,Brute Force
16194,22,17,3729,3,8,525,6768,BENIGN
44355,443,6,121,8,3,2800,1500,SQL Injection
15757,443,6,96,6,4,2100,2000,SQL Injection
4932,443,17,4884,19,10,5016,1670,BENIGN
46157,22,6,205,27,17,3240,2040,Brute Force
33822,1012,6,57,1,0,40,0,PortScan
3636,443,6,241,7,6,2450,3000,SQL Injection
7009,443,6,2217,19,2,8170,1628,BENIGN
31858,80,6,69021,767,7,49088,280,DDoS
12918,893,6,82,1,1,40,40,PortScan
31826,22,17,2740,11,4,5269,816,BENIGN
28001,1015,6,37,1,1,40,40,PortScan
3428,443,6,252,3,7,1050,3500,SQL Injection
22210,238,6,99,1,1,40,40,PortScan
55086,443,6,20,10,9,3500,4500,SQL Injection
4576,22,6,146,21,16,2520,1920,Brute Force
50598,443,6,275,9,2,3150,1000,SQL Injection
18525,80,6,72987,234,4,14976,160,DDoS
58751,22,6,407,20,8,2400,960,Brute Force
64800,443,6,2555,18,1,5796,457,BENIGN
15749,80,17,972,5,16,2030,5408,BENIGN
47253,443,6,159,8,9,2800,4500,SQL Injection
16997,22,6,283,22,9,2640,1080,Brute Force
13515,22,6,356,21,28,2520,3360,Brute Force
57648,80,6,10150,382,6,24448,240,DDoS
62250,548,6,1,1,1,40,40,PortScan
55908,1003,6,20,1,1,40,40,PortScan
32765,443,6,196,7,10,2450,5000,SQL Injection
25744,443,6,253,7,5,2450,2500,SQL Injection
38497,80,6,51196,339,6,21696,240,DDoS
21876,53,17,3172,5,16,290,2704,BENIGN
64289,443,6,189,3,9,1050,4500,SQL Injection
35492,53,6,1190,14,5,1092,2600,BENIGN
23211,815,6,84,1,0,40,0,PortScan
56883,779,6,41,1,1,40,40,PortScan
3376,443,6,55,5,6,1750,3000,SQL Injection
49964,80,6,12846,544,1,34816,40,DDoS
30100,443,17,247,2,11,894,1067,BENIGN
24516,768,6,56,1,0,40,0,PortScan
35834,80,6,55008,679,10,43456,400,DDoS
12164,80,6,23946,180,9,11520,360,DDoS
41637,22,6,399,12,20,1440,2400,Brute Force
10403,443,6,138,9,6,3150,3000,SQL Injection
17757,22,6,391,5,30,600,3600,Brute Force
60085,22,6,197,26,22,3120,2640,Brute Force
5864,80,6,58898,453,9,28992,360,DDoS
42897,869,6,89,1,1,40,40,PortScan
56421,22,6,204,11,17,1320,2040,Brute Force
8013,22,6,171,17,23,2040,2760,Brute Force
38694,606,6,90,1,1,40,40,PortScan
65114,53,17,76,19,2,6650,1606,BENIGN
55604,22,6,196,29,30,3480,3600,Brute Force
40808,80,6,47179,324,10,20736,400,DDoS
41714,80,6,33850,794,10,50816,400,DDoS
42196,80,6,13735,742,10,47488,400,DDoS
21270,53,6,4757,12,5,1032,4855,BENIGN
22435,851,6,23,1,0,40,0,PortScan
52568,80,6,71701,997,5,63808,200,DDoS
33909,443,6,159,4,6,1400,3000,SQL Injection
64422,22,6,462,14,28,1680,3360,Brute Force
53730,236,6,60,1,0,40,0,PortScan
50448,80,6,30571,980,10,62720,400,DDoS
64414,22,6,483,30,22,3600,2640,Brute Force
6942,809,6,2,1,1,40,40,PortScan
9123,443,6,252,7,6,2450,3000,SQL Injection
25994,443,6,210,3,5,1050,2500,SQL Injection
2664,22,6,367,22,15,2640,1800,Brute Force
15531,443,6,52,9,6,3150,3000,SQL Injection
8670,22,6,121,6,6,720,720,Brute Force
33308,238,6,13,1,0,40,0,PortScan
9914,443,6,218,9,7,3150,3500,SQL Injection
28491,443,6,99,8,3,2800,1500,SQL Injection
41371,22,6,258,13,6,1560,720,Brute Force
15262,909,6,57,1,0,40,0,PortScan
7535,753,6,70,1,1,40,40,PortScan
27116,22,6,1010,15,3,5685,771,BENIGN
64665,443,6,30,2,7,700,3500,SQL Injection
9276,80,6,75000,310,1,19840,40,DDoS
14600,443,6,130,5,7,1750,3500,SQL Injection
52708,80,6,79116,102,4,6528,160,DDoS
9543,80,6,71807,356,2,22784,80,DDoS
44347,80,6,131,12,8,4092,2968,BENIGN
12443,22,6,1048,14,17,1372,13651,BENIGN
32235,53,17,4214,19,4,5149,2220,BENIGN
62982,80,6,81623,144,10,9216,400,DDoS
20791,443,6,254,2,2,700,1000,SQL Injection
56552,22,6,255,18,26,2160,3120,Brute Force
33154,53,6,671,11,20,1265,2140,BENIGN
19047,80,6,82830,748,9,47872,360,DDoS
47695,443,6,186,8,10,2800,5000,SQL Injection
30758,882,6,13,1,0,40,0,PortScan
48264,443,6,130,8,9,2800,4500,SQL Injection
28143,80,6,45424,947,7,60608,280,DDoS
28286,22,6,423,8,15,960,1800,Brute Force
21505,22,6,390,13,16,1560,1920,Brute Force
46035,80,6,63163,168,1,10752,40,DDoS
7133,53,6,3062,5,18,350,11520,BENIGN
37834,443,6,188,3,8,1050,4000,SQL Injection
58276,867,6,93,1,0,40,0,PortScan
40372,640,6,46,1,0,40,0,PortScan
34277,443,6,128,4,9,1400,4500,SQL Injection
56551,80,6,15184,458,8,29312,320,DDoS
8553,571,6,74,1,0,40,0,PortScan
56412,22,6,337,29,24,3480,2880,Brute Force
45259,443,6,33,6,2,2100,1000,SQL Injection
18933,80,6,93104,880,4,56320,160,DDoS
24028,13,6,24,1,0,40,0,PortScan
44103,443,6,225,3,4,1050,2000,SQL Injection
7037,443,17,3449,15,11,1800,4598,BENIGN
48314,665,6,100,1,0,40,0,PortScan
11220,443,6,678,9,15,3402,7110,BENIGN
40809,22,6,276,18,13,2160,1560,Brute Force
50499,80,6,68154,216,5,13824,200,DDoS
8291,22,6,195,26,26,3120,3120,Brute Force
32915,443,6,289,6,2,2100,1000,SQL Injection
26927,80,6,79554,156,0,9984,0,DDoS
20777,80,6,28686,885,2,56640,80,DDoS
19993,672,6,16,1,0,40,0,PortScan
49980,22,6,270,10,9,1200,1080,Brute Force
35927,22,6,410,12,21,1440,2520,Brute Force
55638,443,6,201,3,8,1050,4000,SQL Injection
29612,80,17,647,11,19,2849,11913,BENIGN
47521,22,6,377,18,14,2160,1680,Brute Force
27568,80,17,1417,20,15,9300,11190,BENIGN
6799,895,6,14,1,0,40,0,PortScan
39616,22,6,255,21,7,2520,840,Brute Force
58074,22,6,208,28,15,3360,1800,Brute Force
22851,80,6,23037,178,8,11392,320,DDoS
35797,443,17,2886,5,8,460,1512,BENIGN
13952,356,6,78,1,0,40,0,PortScan
12633,53,17,4628,19,15,7372,14790,BENIGN
43163,443,6,185,7,4,2450,2000,SQL Injection
5499,22,6,290,19,25,2280,3000,Brute Force
53212,563,6,76,1,0,40,0,PortScan
34272,152,6,40,1,1,40,40,PortScan
3488,22,6,79,16,14,1920,1680,Brute Force
43272,80,17,3800,19,18,8455,14328,BENIGN
30497,443,17,4966,16,17,1872,1751,BENIGN
7807,22,6,465,15,27,1800,3240,Brute Force
34090,443,6,2039,15,15,4620,8625,BENIGN
11427,443,6,206,7,6,2450,3000,SQL Injection
27813,22,6,446,15,26,1800,3120,Brute Force
4455,443,6,191,3,7,1050,3500,SQL Injection
37590,53,17,2074,20,5,4200,615,BENIGN
44514,443,6,92,7,6,2450,3000,SQL Injection
9474,22,6,354,27,7,3240,840,Brute Force
37653,772,6,83,1,1,40,40,PortScan
44940,80,6,93121,948,10,60672,400,DDoS
7148,443,6,236,10,7,3500,3500,SQL Injection
24787,22,6,1764,11,16,1518,4336,BENIGN
11178,80,6,11114,402,1,25728,40,DDoS
51544,443,6,296,10,2,3500,1000,SQL Injection
58459,269,6,77,1,1,40,40,PortScan
11657,80,6,24703,951,9,60864,360,DDoS
48287,80,6,58366,144,6,9216,240,DDoS
45350,487,6,57,1,1,40,40,PortScan
16359,22,6,323,12,14,1440,1680,Brute Force
60266,22,6,477,11,16,1320,1920,Brute Force
29898,443,6,256,6,8,2100,4000,SQL Injection
35591,443,6,234,4,5,1400,2500,SQL Injection
10094,443,6,148,2,9,700,4500,SQL Injection
37366,211,6,92,1,0,40,0,PortScan
6520,329,6,35,1,1,40,40,PortScan
10680,443,6,243,3,5,1050,2500,SQL Injection
58999,22,6,228,5,18,600,2160,Brute Force
27006,22,6,3173,3,12,462,816,BENIGN
62026,203,6,92,1,1,40,40,PortScan
10041,80,6,6020,393,7,25152,280,DDoS
50755,80,6,93476,580,7,37120,280,DDoS
1368,443,6,60,2,6,700,3000,SQL Injection
55744,80,6,20597,661,9,42304,360,DDoS
28762,443,6,76,6,5,2100,2500,SQL Injection
9009,98,6,31,1,1,40,40,PortScan
30981,443,6,52,3,9,1050,4500,SQL Injection
36154,443,6,28,10,5,3500,2500,SQL Injection
20112,80,6,57261,101,9,6464,360,DDoS
16789,854,6,24,1,0,40,0,PortScan
64898,443,6,204,3,10,1050,5000,SQL Injection
34272,443,6,279,10,2,3500,1000,SQL Injection
58258,22,6,290,6,25,720,3000,Brute Force
65317,22,6,241,13,28,1560,3360,Brute Force
24426,80,17,1985,4,19,1664,15466,BENIGN
9767,91,6,46,1,1,40,40,PortScan
55444,80,6,90742,575,7,36800,280,DDoS
54206,80,6,18675,164,7,10496,280,DDoS
20255,443,6,1644,2,11,396,6237,BENIGN
54462,22,6,328,20,13,2400,1560,Brute Force
50391,443,17,2934,2,11,358,1837,BENIGN
29660,820,6,96,1,1,40,40,PortScan
23243,22,6,145,20,27,2400,3240,Brute Force
25098,22,6,458,21,13,2520,1560,Brute Force
48674,53,6,3537,20,6,6380,2040,BENIGN
7747,164,6,42,1,1,40,40,PortScan
30247,873,6,22,1,1,40,40,PortScan
30327,87,6,94,1,1,40,40,PortScan
29528,443,6,160,2,3,700,1500,SQL Injection
24833,22,6,312,30,28,3600,3360,Brute Force
63466,80,6,5081,246,9,15744,360,DDoS
3304,22,6,114,7,12,840,1440,Brute Force
24757,785,6,73,1,0,40,0,PortScan
11079,443,6,250,7,7,2450,3500,SQL Injection
51033,22,6,89,23,9,2760,1080,Brute Force
25072,443,6,223,7,6,2450,3000,SQL Injection
63972,80,6,15869,126,2,8064,80,DDoS
34954,22,6,248,22,8,2640,960,Brute Force
51812,534,6,91,1,1,40,40,PortScan
41123,80,6,38431,810,7,51840,280,DDoS
9061,80,6,18790,973,1,62272,40,DDoS
12339,22,6,415,19,7,2280,840,Brute Force
44791,712,6,91,1,0,40,0,PortScan
36555,443,6,168,6,4,2100,2000,SQL Injection
53039,80,6,48381,620,3,39680,120,DDoS
14195,443,6,4057,1,12,323,7512,BENIGN
31655,266,6,79,1,0,40,0,PortScan
21293,53,17,4316,14,14,6454,8792,BENIGN
9237,22,6,3696,15,17,3240,2907,BENIGN
42953,443,6,113,4,8,1400,4000,SQL Injection
60708,443,6,48,3,10,1050,5000,SQL Injection
20955,80,6,22581,265,5,16960,200,DDoS
23700,80,6,69012,390,1,24960,40,DDoS
13888,563,6,17,1,1,40,40,PortScan
35986,443,6,67,10,4,3500,2000,SQL Injection
62733,443,6,98,4,7,1400,3500,SQL Injection
3723,443,6,34,3,2,1050,1000,SQL Injection
18368,443,6,127,8,2,2800,1000,SQL Injection
59285,22,6,371,22,14,2640,1680,Brute Force
32674,502,6,88,1,1,40,40,PortScan
30747,150,6,89,1,0,40,0,PortScan
29833,80,6,55476,595,7,38080,280,DDoS
23318,80,6,80516,247,5,15808,200,DDoS
49140,708,6,52,1,0,40,0,PortScan
34773,218,6,41,1,0,40,0,PortScan
9053,22,6,186,19,12,2280,1440,Brute Force
7368,80,6,7632,397,6,25408,240,DDoS
28426,443,6,147,4,7,1400,3500,SQL Injection
48283,443,6,180,5,4,1750,2000,SQL Injection
34757,22,6,289,20,14,2400,1680,Brute Force
2542,22,6,96,17,21,2040,2520,Brute Force
64376,22,6,173,11,23,1320,2760,Brute Force
4212,104,6,37,1,1,40,40,PortScan
58848,443,6,260,6,10,2100,5000,SQL Injection
56544,80,17,1107,9,12,3879,5424,BENIGN
3989,821,6,7,1,0,40,0,PortScan
37280,592,6,10,1,1,40,40,PortScan
30538,443,6,163,3,4,1050,2000,SQL Injection
26838,22,17,4579,12,5,1692,3280,BENIGN
27329,443,6,276,2,2,700,1000,SQL Injection
10004,22,17,4264,15,5,5250,4770,BENIGN
10184,443,6,187,7,4,2450,2000,SQL Injection
41426,22,6,428,14,23,1680,2760,Brute Force
34271,1004,6,91,1,1,40,40,PortScan
54484,22,6,58,16,15,1920,1800,Brute Force
65242,53,17,228,20,16,3500,11376,BENIGN
38879,443,6,136,2,9,700,4500,SQL Injection
35380,80,6,83447,838,9,53632,360,DDoS
10708,22,6,470,26,12,3120,1440,Brute Force
38547,80,6,165,15,11,3810,2145,BENIGN
46276,22,6,154,18,21,2160,2520,Brute Force
61351,443,6,261,2,4,700,2000,SQL Injection
14612,443,6,186,9,10,3150,5000,SQL Injection
21586,22,6,138,19,22,2280,2640,Brute Force
36824,726,6,87,1,1,40,40,PortScan
32755,443,6,118,5,6,1750,3000,SQL Injection
20586,443,6,135,6,6,2100,3000,SQL Injection
46259,80,6,93404,600,5,38400,200,DDoS
23883,22,6,336,30,28,3600,3360,Brute Force
19884,250,6,74,1,1,40,40,PortScan
54657,22,6,226,29,30,3480,3600,Brute Force
20059,80,6,6513,394,1,25216,40,DDoS
61579,906,6,84,1,1,40,40,PortScan
15047,22,6,153,22,13,2640,1560,Brute Force
46648,443,6,159,4,3,1400,1500,SQL Injection
49579,443,6,142,5,2,1750,1000,SQL Injection
15813,443,6,139,2,3,700,1500,SQL Injection
22670,22,6,417,20,8,2400,960,Brute Force
1363,80,6,73135,261,6,16704,240,DDoS
32314,22,6,383,11,29,1320,3480,Brute Force
22072,585,6,83,1,0,40,0,PortScan
43773,443,6,1444,14,6,812,5376,BENIGN
52663,22,6,303,10,28,1200,3360,Brute Force
58482,77,6,2,1,1,40,40,PortScan
40527,443,6,74,7,6,2450,3000,SQL Injection
43053,22,6,328,21,20,2520,2400,Brute Force
56799,80,6,67088,579,4,37056,160,DDoS
54030,80,6,15764,438,2,28032,80,DDoS
43510,22,6,181,27,10,3240,1200,Brute Force
49298,22,17,4661,7,6,2464,5496,BENIGN
55221,22,6,268,21,15,2520,1800,Brute Force
27293,80,6,1161,16,11,2672,506,BENIGN
26161,483,6,58,1,1,40,40,PortScan
20812,24,6,34,1,1,40,40,PortScan
5095,80,6,88528,221,7,14144,280,DDoS
11491,831,6,88,1,1,40,40,PortScan
42882,22,17,1819,8,5,2272,980,BENIGN
50027,22,6,360,16,18,1920,2160,Brute Force
60845,443,6,261,10,5,3500,2500,SQL Injection
45610,80,6,99925,710,1,45440,40,DDoS
30302,443,6,290,7,3,2450,1500,SQL Injection
8377,443,6,51,10,10,3500,5000,SQL Injection
38556,80,6,71341,253,2,16192,80,DDoS
57023,905,6,15,1,0,40,0,PortScan
33059,443,6,66,10,9,3500,4500,SQL Injection
30740,443,17,3752,19,2,6194,1026,BENIGN
48424,45,6,51,1,1,40,40,PortScan
49901,443,6,381,14,12,5572,1260,BENIGN
4972,443,6,55,9,2,3150,1000,SQL Injection
27819,369,6,99,1,0,40,0,PortScan
25564,22,6,245,19,17,2280,2040,Brute Force
6283,22,6,399,26,22,3120,2640,Brute Force
43854,80,6,46582,221,2,14144,80,DDoS
26783,443,6,290,4,5,1400,2500,SQL Injection
50580,80,17,3802,18,14,5616,5992,BENIGN
17244,80,6,61375,454,2,29056,80,DDoS
13376,232,6,5,1,1,40,40,PortScan
51228,443,6,28,5,5,1750,2500,SQL Injection
7636,80,17,4907,2,8,838,680,BENIGN
29791,22,6,169,22,11,2640,1320,Brute Force
10207,22,6,4729,11,19,3806,15789,BENIGN
16549,619,6,19,1,0,40,0,PortScan
20717,22,6,190,6,22,720,2640,Brute Force
58676,443,6,109,8,10,2800,5000,SQL Injection
4096,22,6,226,25,26,3000,3120,Brute Force
52522,22,6,318,15,27,1800,3240,Brute Force
27779,22,6,126,14,17,1680,2040,Brute Force
50465,80,6,71507,584,3,37376,120,DDoS
20733,80,6,93743,247,7,15808,280,DDoS
37880,53,17,4575,17,5,4046,1440,BENIGN
14349,677,6,83,1,0,40,0,PortScan
56541,22,6,239,7,22,840,2640,Brute Force
4401,80,6,36187,486,10,31104,400,DDoS
40537,443,6,40,3,5,1050,2500,SQL Injection
48492,443,6,131,9,5,3150,2500,SQL Injection
20893,32,6,28,1,0,40,0,PortScan
49971,53,6,4961,7,13,1134,7865,BENIGN
